index,win,baronFirst,baronKills,championFirst,championKills,dragonFirst,hordeFirst,inhibitorFirst,inhibitorKills,riftHeraldFirst,riftHeraldKills,towerFirst,towerKills,dragonKills_0,dragonKills_1,dragonKills_2,dragonKills_3,dragonKills_4,dragonKills_5,dragonKills_6,hordeKills_0,hordeKills_1,hordeKills_2,hordeKills_3,hordeKills_4,hordeKills_5,hordeKills_6
NA1_4930543597,False,False,0,False,2,False,False,False,0,False,0,False,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False
NA1_4929858514,False,False,0,False,31,False,False,False,0,False,0,False,3,False,True,False,False,False,False,False,False,False,False,False,True,False,False
NA1_4929190162,False,False,0,False,25,False,True,False,0,True,1,False,5,False,True,False,False,False,False,False,False,False,True,False,False,False,False
NA1_4929154540,True,False,0,True,25,True,False,False,0,False,0,True,3,False,False,True,False,False,False,False,False,False,False,True,False,False,False
NA1_4929119848,True,False,1,False,33,False,True,False,3,True,1,True,11,False,False,False,False,True,False,False,False,False,False,False,False,False,True
NA1_4927311765,True,True,1,True,34,True,False,True,1,True,1,True,11,False,False,False,True,False,False,False,True,False,False,False,False,False,False
NA1_4926425929,True,True,2,False,56,True,False,True,3,False,0,True,11,False,False,False,False,True,False,False,False,True,False,False,False,False,False
NA1_4926389302,True,False,0,True,29,True,True,True,1,False,0,True,4,False,False,True,False,False,False,False,False,False,False,False,False,True,False
NA1_4925309005,True,True,1,False,33,True,True,True,1,True,1,True,8,False,False,False,True,False,False,False,False,False,False,False,True,False,False
NA1_4925287801,False,False,0,True,1,False,False,False,0,False,0,False,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False
NA1_4924200932,False,False,0,True,39,True,False,False,0,False,0,False,4,False,False,False,False,True,False,False,False,False,False,True,False,False,False
NA1_4924124323,False,False,0,False,38,False,True,True,1,False,0,False,7,False,False,True,False,False,False,False,False,False,False,True,False,False,False
NA1_4923920015,False,False,1,False,45,True,True,True,5,True,1,True,11,False,False,False,False,True,False,False,False,False,False,True,False,False,False
NA1_4923912171,False,False,0,False,0,False,False,False,0,False,0,False,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False
NA1_4923894188,True,True,1,True,28,False,True,True,4,True,1,True,11,False,False,False,True,False,False,False,False,False,False,False,False,False,True
NA1_4923852520,True,True,1,True,43,True,False,True,1,True,1,False,9,False,False,False,True,False,False,False,True,False,False,False,False,False,False
NA1_4922408595,True,True,1,False,32,True,False,True,2,False,0,False,9,False,False,False,False,True,False,False,False,True,False,False,False,False,False
NA1_4944873630,False,False,0,False,9,False,False,False,0,False,0,False,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False
NA1_4944834499,False,False,0,False,25,False,True,False,0,False,0,True,4,False,False,True,False,False,False,False,False,False,False,False,True,False,False
NA1_4944822904,True,False,0,True,22,True,True,False,0,False,0,True,3,False,False,True,False,False,False,False,False,False,False,False,False,True,False
NA1_4944794674,False,False,0,True,6,False,True,False,0,False,0,False,0,True,False,False,False,False,False,False,False,False,False,False,False,False,True
NA1_4944764564,True,False,1,False,30,True,False,True,3,False,0,True,11,False,False,False,False,True,False,False,True,False,False,False,False,False,False
NA1_4944746978,False,False,0,False,42,False,True,False,0,False,0,True,6,False,True,False,False,False,False,False,False,False,False,False,False,True,False
NA1_4944511812,True,False,0,True,31,False,True,True,2,True,1,True,10,False,False,True,False,False,False,False,False,False,False,False,False,False,True
NA1_4944499161,True,False,0,False,41,True,True,True,1,True,1,True,9,False,False,False,True,False,False,False,False,False,False,True,False,False,False
NA1_4944495024,False,False,0,False,15,False,False,False,0,True,1,False,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False
NA1_4944479711,False,False,0,False,19,False,True,False,0,False,0,False,1,True,False,False,False,False,False,False,False,False,True,False,False,False,False
NA1_4944482804,False,False,0,True,17,False,True,False,0,False,0,False,2,True,False,False,False,False,False,False,False,True,False,False,False,False,False
NA1_4944463430,True,True,1,True,26,True,True,True,3,False,0,True,11,False,False,False,False,True,False,False,False,False,False,False,True,False,False
NA1_4944448707,False,False,0,True,5,False,False,False,0,False,0,False,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False
NA1_4944419691,False,False,2,True,43,True,False,False,6,False,0,True,9,False,False,True,False,False,False,False,True,False,False,False,False,False,False
NA1_4944407474,False,False,0,True,8,False,True,False,0,False,0,False,0,False,True,False,False,False,False,False,False,True,False,False,False,False,False
NA1_4944387402,False,False,0,False,7,False,False,False,0,False,0,False,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False
NA1_4944360552,True,True,2,False,29,False,True,True,2,False,0,True,11,False,True,False,False,False,False,False,False,False,False,False,True,False,False
NA1_4944263007,True,False,0,True,84,False,False,True,3,False,0,True,4,True,False,False,False,False,False,False,True,False,False,False,False,False,False
NA1_4944217487,True,False,0,True,57,False,True,True,5,False,0,False,11,False,True,False,False,False,False,False,False,False,False,False,False,False,True
NA1_4944087580,True,False,0,True,12,False,True,False,0,False,0,True,1,False,True,False,False,False,False,False,False,False,False,True,False,False,False
NA1_4944052770,True,True,1,True,49,True,False,True,3,False,0,False,11,False,False,False,False,True,False,False,True,False,False,False,False,False,False
NA1_4943562624,False,False,0,False,14,False,True,False,0,False,0,False,1,True,False,False,False,False,False,False,False,False,False,True,False,False,False
NA1_4943541020,False,False,0,True,27,True,False,True,1,True,1,True,7,False,False,True,False,False,False,False,True,False,False,False,False,False,False
NA1_4943516361,True,False,0,True,18,True,True,False,0,False,0,True,1,False,False,True,False,False,False,False,False,False,False,True,False,False,False
NA1_4943468574,True,True,1,False,17,True,True,True,3,True,1,True,11,False,False,False,False,False,True,False,False,False,False,True,False,False,False
NA1_4943430664,True,True,1,True,39,True,False,True,3,True,1,True,11,False,False,False,True,False,False,False,False,False,True,False,False,False,False
NA1_4943384135,True,True,1,True,57,True,True,False,3,True,1,False,10,False,False,False,False,False,True,False,False,False,True,False,False,False,False
NA1_4943276788,True,True,1,True,43,False,False,True,4,False,0,True,11,False,False,True,False,False,False,False,True,False,False,False,False,False,False
NA1_4943247338,False,False,0,False,25,False,False,False,0,False,0,False,3,False,True,False,False,False,False,False,True,False,False,False,False,False,False
NA1_4943109782,True,True,2,True,42,False,True,True,2,True,1,True,10,False,False,False,False,True,False,False,False,False,False,False,False,False,True
NA1_4943063695,False,False,0,False,36,False,True,False,0,True,1,True,3,False,True,False,False,False,False,False,False,False,False,False,False,False,True
NA1_4942535343,False,False,0,True,37,False,True,False,0,False,0,True,4,True,False,False,False,False,False,False,False,False,False,False,True,False,False
NA1_4942469026,True,True,1,False,27,False,True,False,0,True,1,True,6,False,True,False,False,False,False,False,False,False,False,False,False,False,True
NA1_4942439759,True,False,0,True,40,True,True,True,3,True,1,True,11,False,False,True,False,False,False,False,False,False,False,False,False,False,True
NA1_4942396525,False,False,0,True,30,True,False,False,0,False,0,False,3,False,False,False,True,False,False,False,False,False,True,False,False,False,False
NA1_4942354074,False,True,1,False,42,True,False,False,0,False,0,False,4,False,False,False,True,False,False,False,True,False,False,False,False,False,False
NA1_4942316990,True,True,1,False,26,False,True,True,3,True,1,True,11,False,False,False,True,False,False,False,False,False,False,True,False,False,False
NA1_4942288393,True,False,0,False,28,False,True,True,1,True,1,True,7,True,False,False,False,False,False,False,False,False,False,False,False,True,False
NA1_4941813070,True,True,1,True,48,False,True,True,1,False,0,False,7,False,False,False,True,False,False,False,False,False,False,False,False,False,True
NA1_4941767600,False,False,0,True,41,True,True,True,1,True,1,True,7,False,False,False,True,False,False,False,False,False,False,False,False,False,True
NA1_4941727717,True,True,1,True,49,False,True,True,2,True,1,True,10,False,False,False,False,True,False,False,False,False,False,False,False,False,True
NA1_4941691519,False,False,0,True,21,True,True,False,0,True,1,True,4,False,True,False,False,False,False,False,False,False,False,False,False,False,True
NA1_4941669260,True,False,0,False,23,True,False,False,0,False,0,True,4,False,False,True,False,False,False,False,True,False,False,False,False,False,False
NA1_4941638457,True,False,0,True,23,True,False,False,0,True,1,True,5,False,False,False,True,False,False,False,False,True,False,False,False,False,False
NA1_4941607567,False,False,0,True,14,True,False,False,0,False,0,False,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False
NA1_4941577120,False,False,0,True,26,False,False,False,0,False,0,False,1,True,False,False,False,False,False,False,True,False,False,False,False,False,False
NA1_4941539571,True,True,1,False,27,False,False,False,0,False,0,True,6,False,False,False,True,False,False,False,False,False,False,True,False,False,False
NA1_4941509148,False,False,0,True,38,True,False,False,0,True,1,False,7,False,True,False,False,False,False,False,False,False,False,True,False,False,False
NA1_4940881123,True,True,1,True,23,True,False,True,2,True,1,True,8,False,False,True,False,False,False,False,False,False,False,True,False,False,False
NA1_4940772639,False,False,1,True,52,True,True,True,1,True,1,False,7,False,False,False,False,True,False,False,False,False,False,True,False,False,False
NA1_4943524381,True,False,0,False,35,False,False,True,1,False,0,True,9,True,False,False,False,False,False,False,False,True,False,False,False,False,False
NA1_4943516846,True,False,0,True,43,False,True,False,0,False,0,False,4,True,False,False,False,False,False,False,False,False,False,False,False,False,True
NA1_4943490667,False,False,0,True,42,False,True,False,0,False,0,False,2,False,False,False,True,False,False,False,False,False,False,False,False,False,True
NA1_4943476767,False,False,0,True,37,True,False,False,0,False,0,False,1,False,False,True,False,False,False,False,True,False,False,False,False,False,False
NA1_4943462753,True,False,0,True,39,True,True,True,1,False,0,True,8,False,True,False,False,False,False,False,False,False,False,False,False,True,False
NA1_4942265794,True,False,1,True,50,False,True,False,1,True,1,True,8,False,False,True,False,False,False,False,False,False,False,False,False,False,True
NA1_4942242133,True,False,0,True,21,False,True,True,2,False,0,True,10,False,False,True,False,False,False,False,False,False,False,False,False,False,True
NA1_4942094794,False,False,1,False,43,False,True,False,1,False,0,True,9,False,False,True,False,False,False,False,False,False,False,False,False,False,True
NA1_4941705777,True,False,1,False,55,False,False,True,1,False,0,False,9,False,False,False,True,False,False,False,False,False,True,False,False,False,False
